en,ro
awful,îngrozitor
bleed,sângera
fate,soarta
jog,Jog
strike,grevă
grimace,grimasă
holiday,vacanţă
whistle,fluier
agreement,acord
dull,plictisitor
expensive,scump
snatch,smulge
sometime,cândva
ability,capacitate
campus,Campus
collar,guler
disturb,perturba
flicker,pâlpâit
proceed,continua
recently,recent
risk,risc
skill,abilitate
topic,subiect
defense,apărare
fry,prăji
luckily,din fericire
retort,replică
captain,căpitan
eaten,mâncat
glove,mănușă
mid,mijlocul
owner,proprietar
cheese,brânză
yank,smulge
afterward,după aceea
closely,îndeaproape
coach,antrenor
feather,pană
handsome,frumos
New York,New York
pity,milă
signal,semnal
sniff,Adulmeca
strap,curea
contain,conține
survive,supravieţui
sweater,pulover
west,Vest
drawer,sertar
leap,salt
major,major
peek,arunca o privire
suspect,suspect
tour,tur
freeze,îngheţa
heaven,cer
mask,masca
surprisingly,Surprinzător
abruptly,brusc
begun,a început
customer,client
pad,tampon
design,proiecta
flop,chix
pride,mândrie
yep,Da
interview,interviu
makeup,inventa
blast,explozie
prince,prinţ
rode,a călărit
bubble,bule
rent,chirie
teen,adolescent
